EoD_UPRISING;[Root.Religion.GetName] Reckoning;Jour du Jugement [Root.Religion.GetName];[Root.Religion.GetName] – Abrechnung;;El juicio de [Root.Religion.GetName];;;;;;;;;x
EVTDESC_RIP_11045_flu_uncertain;[From.GetTitledName] hesitantly suggests that you probably have the Flu. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la grippe. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] weist zögerlich darauf hin, dass Ihr vermutlich die Grippe habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que tengas la Gripe. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_food_poisoning;[From.GetTitledName] suggests you follow [From.GetHerHis] instructions to combat the Food Poisoning you could well be suffering from.;[From.Get_Le_TitledName] suggère que vous suiviez ses instructions pour combattre l'intoxication alimentaire dont vous pourriez souffrir.;[From.GetTitledName] gibt Euch Anweisungen, die Ihr befolgen solltet, um die Lebensmittelvergiftung zu bekämpfen, an der Ihr wohl leiden könntet.;;[From.GetTitledName] sugiere que sigas sus instrucciones para luchar contra la Intoxicación alimentaria que seguramente estés sufriendo.;;;;;;;;;x
EVTDESC_RIP_11045_food_poisoning_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you have Food Poisoning. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous faites une intoxication alimentaire. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr an einer Lebensmittelvergiftung leidet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que tienes una Intoxicación alimentaria. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_food_poisoning_horse;[From.GetTitledName] suggests that you are saddled with Food Poisoning. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère que vous subissez une intoxication alimentaire. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] nimmt an, dass Ihr an einer Lebensmittelvergiftung leidet. Um Euch im Sattel zu halten, gibt [From.GetSheHe] Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere que te afecta una Intoxicación alimentaria. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_food_poisoning_sure;[From.GetTitledName] suggests you follow [From.GetHerHis] instructions to combat the Food Poisoning you most likely suffer from.;[From.Get_Le_TitledName] suggère que vous suiviez ses instructions pour combattre l'intoxication alimentaire dont vous souffrez probablement.;[From.GetTitledName] gibt Euch Anweisungen, die Ihr befolgen solltet, um die Lebensmittelvergiftung zu bekämpfen, an der Ihr höchstwahrscheinlich leidet.;;[From.GetTitledName] sugiere que sigas sus instrucciones para luchar contra la Intoxicación alimentaria que puedes estar sufriendo.;;;;;;;;;x
EVTDESC_RIP_11045_food_poisoning_uncertain;[From.GetTitledName] hesitantly suggests that you follow [From.GetHerHis] instructions to combat the Food Poisoning you might suffer from.;[From.Get_Le_TitledName] suggère que vous suiviez ses instructions pour combattre l'intoxication alimentaire dont vous pourriez souffrir.;[From.GetTitledName] gibt Euch Anweisungen und weist zögerlich darauf hin, diese zu befolgen, um die Lebensmittelvergiftung zu bekämpfen, an der Ihr leiden könntet.;;[From.GetTitledName] sugiere dudos[From.GetOA] que sigas sus instrucciones para luchar contra la Intoxicación alimentaria que puedes estar sufriendo.;;;;;;;;;x
EVTDESC_RIP_11045_gout;[From.GetTitledName] guess is that you are in the early stages of Gout. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suppose que vous êtes aux premiers stades de la goutte. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] vermutet, dass Ihr Euch im Anfangsstadium der Gicht befindet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] supone que estás en los primeros estadios de la Gota. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_gout_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are in the early stages of Gout. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous êtes aux premiers stades de la goutte. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Euch im Anfangsstadium der Gicht befindet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de estás en los primeros estadios de la Gota. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_gout_horse;[From.GetTitledName] enters the room with a long face. [From.GetSheHeCap] fears you are in the early stages of Gout, a condition that can cause lameness. [From.GetSheHeCap] promises to make it quick when the time comes, before insisting that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] entre en tirant la tête. [From.GetIlElleCap] craint que vous ne soyez aux premiers stages de la goutte, un état qui peut vous faire boiter. [From.GetIlElleCap] promet de vous faire récupérer votre vitesse de course, avant d'insister pour que vous suiviez ses instructions.;[From.GetTitledName] betritt den Raum und macht ein langes Gesicht. [From.GetSheHeCap] befürchtet, dass Ihr Euch im Frühstadium der Gicht befindet, einer Krankheit, die zur Lahmheit führen kann. [From.GetSheHeCap] verspricht, es kurz und schmerzlos zu machen, sollte Eure Zeit gekommen sein, gibt Euch aber bis dahin Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] entra en la sala con una cara larga. [From.GetElEllaCap] teme que estés en los primeros estadios de la Gota, una dolencia que puede causar cojera. [From.GetElEllaCap] promete que cuando llegue el momento será rápido, antes de insistir que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_gout_sure;[From.GetTitledName] educated guess is that you are in the early stages of Gout. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] émet comme supposition éclairée que vous êtes aux premiers stades de la goutte. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] stellt die begründete Vermutung an, dass Ihr Euch im Anfangsstadium der Gicht befindet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;La suposición bien fundada de [From.GetTitledName] es que estás en los primeros estadios de la Gota. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_gout_uncertain;[From.GetTitledName] reckons that you are in the early stages of Gout. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] croit que vous êtes aux premiers stades de la goutte. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] schätzt, dass Ihr Euch im Anfangsstadium der Gicht befindet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] considera que estás en los primeros estadios de la Gota. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease;[From.GetTitledName] is worried that you may have Syphilis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions afin de retrouver une santé de cheval.;[From.GetTitledName] befürchtet, dass Ihr Syphilis haben könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que puedas tener la Sífilis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you have Syphilis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Syphilis habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que tienes la Sífilis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease_horse;[From.GetTitledName] is concerned that you may have Syphilis. [From.GetSheHeCap] thinks that you mustang out with the wrong type of people. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Syphilis haben könntet, möchte bezüglich der Ursache aber nicht gleich Ross und Reiter nennen. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que puedas tener la Sífilis. [From.GetElEllaCap] cree que te habrás liado con la gente equivocada. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease_sure;[From.GetTitledName] is worried that you have Syphilis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] craint que vous n'ayez la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Syphilis habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que tengas la Sífilis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_aztec_disease_uncertain;[From.GetTitledName] reckons that you have Syphilis. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] croit que vous avez la syphilis. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] schätzt, dass Ihr Syphilis habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] considera que tienes la Sífilis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague;[From.GetTitledName] is worried you may be infected with the Bubonic Plague. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Euch mit der Beulenpest angesteckt haben könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que puedas haber contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are infected with the Bubonic Plague. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Euch mit der Beulenpest angesteckt habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_horse;[From.GetTitledName] is worried you may be infected with the Bubonic Plague and you mare may not recover. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la peste bubonique et qu'il faudrait une médecine de cheval pour pouvoir en guérir. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Euch mit der Beulenpest angesteckt haben könntet und Euch eventuell nicht davon erholen werdet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa te hayas contraído la Peste bubónica y puede que no te recuperes. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_sure;[From.GetTitledName] is worried you are infected with the Bubonic Plague. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] craint que vous n'ayez la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Euch mit der Beulenpest angesteckt habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;A [From.GetTitledName] le preocupa que hayas contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_bubonic_plague_uncertain;[From.GetTitledName] hesitantly suggests you are probably infected with the Bubonic Plague. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la peste bubonique. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] weist zögerlich darauf hin, dass Ihr Euch vermutlich mit der Beulenpest angesteckt habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puedes haber contraído la Peste bubónica. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles;[From.GetTitledName] is fairly sure you have Measles. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la rougeole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich recht sicher, dass Ihr die Masern habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído el Sarampión. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you have Measles. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la rougeole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr die Masern habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído el Sarampión. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_horse;[From.GetTitledName] is fairly sure you have Measles, but [From.GetSheHe] hopes that it will not be there furlong. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la rougeole, mais espère que cela ne durera pas. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich recht sicher, dass Ihr die Masern habt, möchte jedoch nicht die Pferde scheu machen. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído el Sarampión, si bien espera que no dure demasiado. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_sure;[From.GetTitledName] is sure you have Measles. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a la conviction que vous avez la rougeole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr die Masern habt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído el Sarampión. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_measles_uncertain;[From.GetTitledName] hesitantly suggests you are probably have Measles. Or Weasels? No, definitely Measles. Probably. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la rougeole, ou quelque chose du genre. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] weist zögerlich darauf hin, dass Ihr vermutlich die Masern habt. Oder in der Mauser seid. Nein, auf jeden Fall Masern. Vermutlich. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído el sarampión, ¿champiñón? No, seguro que Sarampión. Probablemente. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox;[From.GetTitledName] is worried that you may be developing Smallpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído la Viruela. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Smallpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la variole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído la Viruela. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_horse;[From.GetTitledName] is worried that your rein may be at an end, as you seem to be developing Smallpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] s'inquiète que vous puissiez avoir contracté la petite vérole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] hofft, nicht aufs falsche Pferd gesetzt zu haben, befürchtet aber, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído la Viruela, una enfermedad que puede provocar un estado mental alterado. [From.GetElEllaCap] hace una pausa para sacudirse la crin, y pisar el suelo con sus cascos antes de advertirte que estés atento a señales de delirio. [From.GetTitledName] insiste que relinches que seguirás sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_sure;[From.GetTitledName] is worried that you are developing Smallpox. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] craint que vous n'ayez la petite vérole. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] befürchtet, dass Ihr Anzeichen von Blattern zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído la Viruela. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_small_pox_uncertain;[From.GetTitledName] reckons that you are may be developing Smallpox, which is probably not too bad since it is small. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] croit que vous avez la petite vérole, ce qui n'est probablement pas grave, puisque c'est la « petite ». [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] schätzt, dass Ihr Anzeichen von Blattern zeigen könntet, was aber vermutlich kein Grund zur Sorge sein sollte. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído la Viruela, lo que no será demasiado grave porque es pequeña. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis;[From.GetTitledName] is fairly sure you are developing Consumption. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich recht sicher, dass Ihr Anzeichen von Schwindsucht zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Consumption. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von Schwindsucht zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_horse;[From.GetTitledName] thinks you sound rather horse and is concerned that you may be developing Consumption. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] dit que vous avez une fièvre de cheval et s'inquiète que vous puissiez avoir contracté la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] findet, Eure Stimme klänge heiser, und befürchtet, dass Ihr Anzeichen von Schwindsucht zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] cree que sueno bastante ronco y le preocupa que haya contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_sure;[From.GetTitledName] is sure you are developing Consumption. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a la conviction que vous avez la consomption. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr Anzeichen von Schwindsucht zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído Tisis. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_tuberculosis_uncertain;[From.GetTitledName] hesitantly suggests you are probably developing Consumption, or something like that. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] suggère avec hésitation que vous avez probablement la consomption, ou quelque chose du genre. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] zieht zögerlich in Erwägung, dass Ihr möglicherweise Anzeichen von Schwindsucht oder etwas Ähnlichem zeigen könntet. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] sugiere dudos[From.GetOA] que puede que hayas contraído Tisis o algo parecido. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever;[From.GetTitledName] is fairly sure you are developing Slow Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la fièvre lente. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Fiebre tifoidea. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_certain;[From.GetTitledName] states that [From.GetHerHis] extensive medical experience leads [From.GetHerHim] to the certain conclusion that you are developing Slow Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] affirme que sa vaste expérience l'amène à la certitude que vous avez la fièvre lente. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich aufgrund langjähriger medizinischer Erfahrung absolut sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] expone que su amplia experiencia médica le lleva a la conclusión de que has contraído Fiebre tifoidea. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_horse;[From.GetTitledName] is fairly sure you are developing Slow Fever, although so far your condition is stable. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a presque la certitude que vous avez la fièvre lente, bien que jusqu'ici votre état est stable. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions afin de soigner cette fièvre de cheval.;[From.GetTitledName] ist sich ziemlich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt, auch wenn Eure Verfassung noch stabil ist. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está bastante segur[From.GetOA] que has contraído Fiebre tifoidea, aunque hasta ahora tu estado es estable. Insiste que sigas sus instrucciones.;;;;;;;;;x
EVTDESC_RIP_11045_has_typhoid_fever_sure;[From.GetTitledName] is sure you are developing Slow Fever. [From.GetSheHeCap] insists that you follow [From.GetHerHis] instructions.;[From.Get_Le_TitledName] a la conviction que vous avez la fièvre lente. [From.GetIlElleCap] insiste pour que vous suiviez ses instructions.;[From.GetTitledName] ist sich sicher, dass Ihr Anzeichen von schleichendem Fieber zeigt. [From.GetSheHeCap] gibt Euch Anweisungen und besteht darauf, dass Ihr sie befolgt.;;[From.GetTitledName] está segur[From.GetOA] que has contraído Fiebre tifoidea. Insiste que sigas sus instrucciones.;;;;;;;;;x
